Source Name	Comment[ENA_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[age]	Unit[time unit]	Characteristics[sex]	Characteristics[cell type]	Characteristics[infect]	Characteristics[time]	Unit[time unit]	Material Type	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[infect]	Factor Value[time]	Unit[time unit]	Factor Value[single cell ID]
day14_mouse1_12392_cell01	ERS985591	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell01	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_1_	sequencing assay	ERX1225218	12392_1_1.fastq.gz	12392_1_1.fastq.gz	ERR1146416	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1146416/ERR1146416_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 1
day14_mouse1_12392_cell01	ERS985591	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell01	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_1_	sequencing assay	ERX1225218	12392_1_2.fastq.gz	12392_1_2.fastq.gz	ERR1146416	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1146416/ERR1146416_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 1
day14_mouse1_12392_cell02	ERS985592	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell02	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_2_	sequencing assay	ERX1225219	12392_2_1.fastq.gz	12392_2_1.fastq.gz	ERR1146417	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1146417/ERR1146417_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 2
day14_mouse1_12392_cell02	ERS985592	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell02	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_2_	sequencing assay	ERX1225219	12392_2_2.fastq.gz	12392_2_2.fastq.gz	ERR1146417	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1146417/ERR1146417_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 2
day14_mouse1_12392_cell03	ERS985593	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell03	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_3_	sequencing assay	ERX1225220	12392_3_1.fastq.gz	12392_3_1.fastq.gz	ERR1146418	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1146418/ERR1146418_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 3
day14_mouse1_12392_cell03	ERS985593	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell03	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_3_	sequencing assay	ERX1225220	12392_3_2.fastq.gz	12392_3_2.fastq.gz	ERR1146418	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1146418/ERR1146418_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 3
day14_mouse1_12392_cell05	ERS985594	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell05	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_5_	sequencing assay	ERX1225221	12392_5_1.fastq.gz	12392_5_1.fastq.gz	ERR1146419	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1146419/ERR1146419_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 4
day14_mouse1_12392_cell05	ERS985594	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell05	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_5_	sequencing assay	ERX1225221	12392_5_2.fastq.gz	12392_5_2.fastq.gz	ERR1146419	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1146419/ERR1146419_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 4
day14_mouse1_12392_cell06	ERS985595	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell06	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_6_	sequencing assay	ERX1225222	12392_6_1.fastq.gz	12392_6_1.fastq.gz	ERR1146420	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1146420/ERR1146420_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 5
day14_mouse1_12392_cell06	ERS985595	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	14	day	cell	P-MTAB-46290	P-MTAB-46292	day14_mouse1_12392_cell06	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12392_6_	sequencing assay	ERX1225222	12392_6_2.fastq.gz	12392_6_2.fastq.gz	ERR1146420	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1146420/ERR1146420_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	14	day	cell 5
