Sample	serialized_eq_classes	num_mapped	frag_dist_length	num_bootstraps	call	num_libraries	library_types	end_time	samp_type	num_targets	percent_mapped	salmon_version	eq_class_properties	num_bias_bins	mapping_type	length_classes	num_processed	start_time	seq_bias_correct	gc_bias_correct
ERR1146416	False	4387390	1000001	100	quant	1	['IU']	Thu Oct 26 19:21:08 2017	bootstrap	129918	94.44692003831788	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4645350	Thu Oct 26 19:11:38 2017	True	True
ERR1146417	False	3708751	1000001	100	quant	1	['IU']	Thu Oct 26 19:19:40 2017	bootstrap	129918	89.39252388259074	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4148838	Thu Oct 26 19:11:39 2017	True	True
ERR1146418	False	3798529	1000001	100	quant	1	['IU']	Thu Oct 26 19:21:19 2017	bootstrap	129918	92.22492853442026	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4118766	Thu Oct 26 19:12:28 2017	True	True
ERR1146419	False	3642303	1000001	100	quant	1	['IU']	Thu Oct 26 19:23:39 2017	bootstrap	129918	91.8351663119549	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3966131	Thu Oct 26 19:13:05 2017	True	True
ERR1146420	False	2474216	1000001	100	quant	1	['IU']	Thu Oct 26 19:22:24 2017	bootstrap	129918	84.65480006240779	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	2922712	Thu Oct 26 19:13:12 2017	True	True
ERR1146421	False	3651563	1000001	100	quant	1	['IU']	Thu Oct 26 19:25:05 2017	bootstrap	129918	90.26843240193936	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4045227	Thu Oct 26 19:13:27 2017	True	True
ERR1146422	False	4276971	1000001	100	quant	1	['IU']	Thu Oct 26 19:22:55 2017	bootstrap	129918	92.84576925857255	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4606533	Thu Oct 26 19:15:21 2017	True	True
ERR1146423	False	2841839	1000001	100	quant	1	['IU']	Thu Oct 26 19:23:11 2017	bootstrap	129918	90.2206053694778	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3149878	Thu Oct 26 19:13:34 2017	True	True
ERR1146424	False	2852884	1000001	100	quant	1	['IU']	Thu Oct 26 19:24:28 2017	bootstrap	129918	88.61399039774173	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3219451	Thu Oct 26 19:14:00 2017	True	True
ERR1146425	False	3639894	1000001	100	quant	1	['IU']	Thu Oct 26 19:23:18 2017	bootstrap	129918	92.13675923305559	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3950534	Thu Oct 26 19:14:21 2017	True	True
ERR1146426	False	3982600	1000001	100	quant	1	['IU']	Thu Oct 26 19:22:58 2017	bootstrap	129918	94.17601309090566	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4228890	Thu Oct 26 19:14:45 2017	True	True
ERR1146427	False	4101424	1000001	100	quant	1	['IU']	Thu Oct 26 19:23:09 2017	bootstrap	129918	90.70868426511888	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4521534	Thu Oct 26 19:14:47 2017	True	True
ERR1146428	False	4427024	1000001	100	quant	1	['IU']	Thu Oct 26 19:23:36 2017	bootstrap	129918	92.51494033999423	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4785199	Thu Oct 26 19:15:02 2017	True	True
ERR1146429	False	3415520	1000001	100	quant	1	['IU']	Thu Oct 26 19:32:07 2017	bootstrap	129918	87.84197538484487	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3888255	Thu Oct 26 19:15:09 2017	True	True
ERR1146430	False	4378016	1000001	100	quant	1	['IU']	Thu Oct 26 19:27:06 2017	bootstrap	129918	86.7060915856977	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	5049260	Thu Oct 26 19:15:20 2017	True	True
ERR1146431	False	4267737	1000001	100	quant	1	['IU']	Thu Oct 26 19:23:30 2017	bootstrap	129918	90.14727567565512	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4734183	Thu Oct 26 19:15:28 2017	True	True
ERR1146432	False	4888937	1000001	100	quant	1	['IU']	Thu Oct 26 19:23:13 2017	bootstrap	129918	89.61975729579117	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	5455200	Thu Oct 26 19:15:35 2017	True	True
